20 20 100
9 6 9 6 
10 5 10 5 
10 4 11 4 
10 4 12 3 
13 2 13 2 
12 2 14 1 
14 2 14 2 
14 3 14 3 
14 4 13 3 
6 12 12 3 
15 14 11 3 
15 13 10 3 
15 13 9 3 
7 3 8 3 
7 2 7 2 
7 3 8 3 
7 2 7 3 
7 3 6 3 
6 3 5 3 
16 0 4 3 
3 3 3 3 
3 2 2 3 
1 3 1 3 
1 3 0 3 
1 4 0 3 
1 5 0 4 
0 4 0 5 
0 4 1 6 
0 5 0 6 
0 5 1 6 
3 6 2 6 
3 7 3 6 
4 5 4 6 
4 5 5 6 
15 10 5 6 
16 10 6 6 
7 6 7 6 
7 6 6 6 
6 7 6 7 
6 7 6 8 
6 8 5 8 
6 8 4 8 
19 18 3 8 
19 17 2 8 
19 17 1 7 
19 17 0 6 
0 5 0 5 
0 5 1 4 
2 3 2 3 
3 2 3 2 
4 0 4 1 
6 0 5 0 
5 0 6 1 
8 2 7 2 
8 3 8 3 
9 3 7 3 
6 3 6 3 
5 3 5 3 
4 3 4 3 
3 2 3 3 
3 3 2 3 
3 3 1 4 
3 3 0 5 
0 4 0 4 
3 7 1 5 
2 6 2 6 
3 6 3 7 
4 9 4 8 
4 9 4 9 
4 10 4 10 
4 11 4 11 
5 11 5 10 
5 11 6 10 
5 11 5 9 
6 8 6 8 
5 7 5 7 
4 7 4 6 
4 8 3 5 
5 8 2 4 
13 4 3 5 
3 6 3 6 
3 7 3 7 
3 7 2 6 
3 7 1 5 
8 18 0 6 
0 7 1 7 
1 7 1 7 
0 7 0 6 
1 5 1 5 
1 5 0 5 
2 5 1 5 
1 5 2 5 
5 3 3 5 
3 6 3 6 
3 6 2 7 
1 11 2 7 
1 11 1 6 
1 11 1 6 
2 6 2 5 
2 5 1 4 
